"Time","Usage"
2021-12-17 15:54:45,1.07
2021-12-17 15:55:00,1.09
2021-12-17 15:55:15,7.47
2021-12-17 15:55:30,19.7
2021-12-17 15:55:45,31.2
2021-12-17 15:56:00,42.5
2021-12-17 15:56:15,44.0
2021-12-17 15:56:30,44.1
2021-12-17 15:56:45,42.8
2021-12-17 15:57:00,44.3
2021-12-17 15:57:15,44.3
2021-12-17 15:57:30,43.5
2021-12-17 15:57:45,44.7
2021-12-17 15:58:00,44.1
2021-12-17 15:58:15,44.8
2021-12-17 15:58:30,45.0
2021-12-17 15:58:45,43.4
2021-12-17 15:59:00,44.0
2021-12-17 15:59:15,35.0
2021-12-17 15:59:30,22.9
2021-12-17 15:59:45,12.3
2021-12-17 16:00:00,1.63
