"Time","Usage"
2022-02-28 18:22:00,1.02
2022-02-28 18:22:15,1.02
2022-02-28 18:22:30,0.997
2022-02-28 18:22:45,8.50
2022-02-28 18:23:00,32.4
2022-02-28 18:23:15,53.2
2022-02-28 18:23:30,79.3
2022-02-28 18:23:45,85.3
2022-02-28 18:24:00,84.4
2022-02-28 18:24:15,87.6
2022-02-28 18:24:30,87.3
2022-02-28 18:24:45,88.3
2022-02-28 18:25:00,88.5
2022-02-28 18:25:15,85.1
2022-02-28 18:25:30,89.1
2022-02-28 18:25:45,88.2
2022-02-28 18:26:00,89.2
2022-02-28 18:26:15,89.0
2022-02-28 18:26:30,85.4
2022-02-28 18:26:45,89.5
2022-02-28 18:27:00,74.3
2022-02-28 18:27:15,48.1
2022-02-28 18:27:30,26.2
2022-02-28 18:27:45,1.29
2022-02-28 18:28:00,1.28
2022-02-28 18:28:15,0.935
