"Time","node10","node11","node12","node13","node14","node15","node16","node17","node18","node19","node4","node5","node6","node7","node8","node9"
2021-12-17 16:00:15,0.826,0.802,0.801,0.775,0.850,0.772,0.790,0.810,0.775,0.825,0.831,0.806,0.789,0.805,0.783,0.850
2021-12-17 16:00:30,0.834,0.803,0.828,0.772,0.836,0.773,0.816,0.828,0.776,0.840,0.847,0.812,0.808,0.786,0.798,0.852
2021-12-17 16:00:45,0.831,0.815,0.820,0.768,0.816,0.782,0.824,0.834,0.766,0.844,0.853,0.817,0.830,0.777,0.789,0.818
2021-12-17 16:01:00,0.814,0.828,0.807,0.798,0.798,0.802,0.833,0.853,0.758,0.818,0.849,0.823,0.826,0.765,0.808,0.783
2021-12-17 16:01:15,0.916,0.968,0.955,0.886,0.816,0.853,0.836,0.932,0.881,0.984,0.955,0.935,0.941,0.824,0.872,0.913
2021-12-17 16:01:30,1.07,1.21,1.20,1.10,1.02,1.19,0.935,1.06,1.18,1.20,1.18,1.06,1.15,1.04,0.952,1.17
2021-12-17 16:01:45,1.22,1.39,1.44,1.26,1.12,1.36,0.976,1.23,1.41,1.40,1.40,1.17,1.34,1.20,1.04,1.40
2021-12-17 16:02:00,1.42,1.57,1.68,1.37,1.22,1.54,1.06,1.42,1.62,1.68,1.63,1.26,1.55,1.32,1.14,1.57
2021-12-17 16:02:15,1.39,1.57,1.68,1.50,1.30,1.65,1.15,1.46,1.65,1.68,1.73,1.30,1.64,1.38,1.14,1.54
2021-12-17 16:02:30,1.39,1.61,1.68,1.49,1.27,1.59,1.10,1.52,1.68,1.71,1.75,1.29,1.62,1.35,1.11,1.55
2021-12-17 16:02:45,1.35,1.62,1.71,1.47,1.26,1.53,1.13,1.55,1.69,1.73,1.71,1.19,1.55,1.32,1.14,1.54
2021-12-17 16:03:00,1.34,1.57,1.70,1.49,1.34,1.66,1.14,1.52,1.71,1.69,1.72,1.23,1.62,1.36,1.10,1.54
2021-12-17 16:03:15,1.33,1.62,1.76,1.43,1.28,1.60,1.12,1.59,1.71,1.70,1.73,1.25,1.62,1.37,1.14,1.61
2021-12-17 16:03:30,1.38,1.57,1.65,1.41,1.23,1.52,1.12,1.55,1.59,1.75,1.67,1.20,1.59,1.33,1.16,1.55
2021-12-17 16:03:45,1.38,1.53,1.63,1.50,1.29,1.67,1.10,1.48,1.58,1.70,1.68,1.29,1.64,1.36,1.13,1.53
2021-12-17 16:04:00,1.39,1.63,1.71,1.45,1.25,1.58,1.12,1.51,1.56,1.75,1.72,1.30,1.59,1.35,1.19,1.60
2021-12-17 16:04:15,1.43,1.57,1.69,1.43,1.24,1.51,1.14,1.50,1.54,1.78,1.70,1.20,1.51,1.29,1.18,1.55
2021-12-17 16:04:30,1.42,1.58,1.79,1.45,1.29,1.71,1.19,1.43,1.63,1.74,1.73,1.24,1.66,1.34,1.13,1.58
2021-12-17 16:04:45,1.41,1.61,1.83,1.41,1.24,1.61,1.19,1.49,1.62,1.72,1.75,1.23,1.66,1.33,1.16,1.64
2021-12-17 16:05:00,1.39,1.50,1.63,1.40,1.25,1.54,1.17,1.49,1.60,1.64,1.62,1.17,1.62,1.30,1.10,1.53
2021-12-17 16:05:15,1.20,1.34,1.35,1.26,1.14,1.41,1.10,1.25,1.38,1.36,1.37,1.09,1.39,1.15,0.993,1.32
2021-12-17 16:05:30,1.04,1.11,1.13,1.09,0.985,1.10,0.947,1.09,1.10,1.13,1.11,0.969,1.11,0.989,0.923,1.10
2021-12-17 16:05:45,0.861,0.923,0.870,0.940,0.837,0.859,0.817,0.950,0.894,0.890,0.877,0.816,0.908,0.818,0.842,0.875
2021-12-17 16:06:00,0.806,0.820,0.833,0.839,0.748,0.792,0.766,0.801,0.767,0.798,0.793,0.775,0.806,0.750,0.815,0.782
