"Time","Throughput"
2022-02-28 15:36:00,49263
2022-02-28 15:36:15,49245
2022-02-28 15:36:30,49203
2022-02-28 15:36:45,507641614
2022-02-28 15:37:00,671381210
2022-02-28 15:37:15,608924294
2022-02-28 15:37:30,761558142
2022-02-28 15:37:45,796368765
2022-02-28 15:38:00,590730300
2022-02-28 15:38:15,781919072
2022-02-28 15:38:30,626421807
2022-02-28 15:38:45,704862479
2022-02-28 15:39:00,758530941
2022-02-28 15:39:15,554273818
2022-02-28 15:39:30,794673245
2022-02-28 15:39:45,666794407
2022-02-28 15:40:00,614947027
2022-02-28 15:40:15,734075162
2022-02-28 15:40:30,570395263
2022-02-28 15:40:45,796464598
2022-02-28 15:41:00,593898862
2022-02-28 15:41:15,679916627
2022-02-28 15:41:30,684913101
2022-02-28 15:41:45,532677657
2022-02-28 15:42:00,697070903
2022-02-28 15:42:15,543912368
2022-02-28 15:42:30,724155373
2022-02-28 15:42:45,583561031
2022-02-28 15:43:00,702224462
2022-02-28 15:43:15,696158040
2022-02-28 15:43:30,506564048
2022-02-28 15:43:45,712449688
2022-02-28 15:44:00,531245780
2022-02-28 15:44:15,687229624
2022-02-28 15:44:30,598531879
2022-02-28 15:44:45,690576944
2022-02-28 15:45:00,693414832
2022-02-28 15:45:15,551562732
2022-02-28 15:45:30,760272368
2022-02-28 15:45:45,563899919
2022-02-28 15:46:00,777303156
2022-02-28 15:46:15,742414299
2022-02-28 15:46:30,595254935
2022-02-28 15:46:45,770410685
2022-02-28 15:47:00,561163329
2022-02-28 15:47:15,772537239
2022-02-28 15:47:30,725324358
2022-02-28 15:47:45,594877249
2022-02-28 15:48:00,763075057
2022-02-28 15:48:15,585063120
2022-02-28 15:48:30,690688877
2022-02-28 15:48:45,780314531
2022-02-28 15:49:00,534781352
2022-02-28 15:49:15,772239466
2022-02-28 15:49:30,784308
2022-02-28 15:49:45,49244
2022-02-28 15:50:00,49287
2022-02-28 15:50:15,49293
