"Time","Throughput"
2021-12-17 19:45:00,49964
2021-12-17 19:45:15,49920
2021-12-17 19:45:30,49917
2021-12-17 19:45:45,49970
2021-12-17 19:46:00,49964
2021-12-17 19:46:15,711989727
2021-12-17 19:46:30,517896753
2021-12-17 19:46:45,808929707
2021-12-17 19:47:00,797442609
2021-12-17 19:47:15,579034647
2021-12-17 19:47:30,820940116
2021-12-17 19:47:45,729440482
2021-12-17 19:48:00,630075996
2021-12-17 19:48:15,827665262
2021-12-17 19:48:30,626041895
2021-12-17 19:48:45,626169521
2021-12-17 19:49:00,806839994
2021-12-17 19:49:15,596309837
2021-12-17 19:49:30,633103014
2021-12-17 19:49:45,774814482
2021-12-17 19:50:00,586213554
2021-12-17 19:50:15,727698039
2021-12-17 19:50:30,802048585
2021-12-17 19:50:45,585176074
2021-12-17 19:51:00,782663432
2021-12-17 19:51:15,814967078
2021-12-17 19:51:30,596008084
2021-12-17 19:51:45,802338716
2021-12-17 19:52:00,708935946
2021-12-17 19:52:15,556911665
2021-12-17 19:52:30,731731291
2021-12-17 19:52:45,521724505
2021-12-17 19:53:00,702485113
2021-12-17 19:53:15,687126266
2021-12-17 19:53:30,531384380
2021-12-17 19:53:45,700882608
2021-12-17 19:54:00,530562128
2021-12-17 19:54:15,711505833
2021-12-17 19:54:30,716269791
2021-12-17 19:54:45,509329268
2021-12-17 19:55:00,719740703
2021-12-17 19:55:15,544155158
2021-12-17 19:55:30,706220069
2021-12-17 19:55:45,734656748
2021-12-17 19:56:00,517500173
2021-12-17 19:56:15,701307702
2021-12-17 19:56:30,540443318
2021-12-17 19:56:45,704169207
2021-12-17 19:57:00,706936503
2021-12-17 19:57:15,538443113
2021-12-17 19:57:30,705350581
2021-12-17 19:57:45,529412685
2021-12-17 19:58:00,704522460
2021-12-17 19:58:15,769009645
2021-12-17 19:58:30,557649733
2021-12-17 19:58:45,788520457
2021-12-17 19:59:00,787267191
2021-12-17 19:59:15,605852399
2021-12-17 19:59:30,770240860
2021-12-17 19:59:45,635852257
2021-12-17 20:00:00,580106233
2021-12-17 20:00:15,784860318
2021-12-17 20:00:30,590039224
2021-12-17 20:00:45,731812379
2021-12-17 20:01:00,814099394
2021-12-17 20:01:15,613673743
2021-12-17 20:01:30,794030207
2021-12-17 20:01:45,753635732
2021-12-17 20:02:00,566059790
2021-12-17 20:02:15,787357730
2021-12-17 20:02:30,784021301
2021-12-17 20:02:45,567600985
2021-12-17 20:03:00,768043996
2021-12-17 20:03:15,661416948
2021-12-17 20:03:30,585105842
2021-12-17 20:03:45,797150671
2021-12-17 20:04:00,17976026
2021-12-17 20:04:15,49905
2021-12-17 20:04:30,50076
2021-12-17 20:04:45,49945

